Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
1905,Barbara Benetton,$1.50 ,"$1,500,000,000 ",53,Italy,"Fashion retail, investments",Others
1905,Angela Bennett,$1.50 ,"$1,500,000,000 ",79,Australia,Mining,Others
1905,Zadik Bino & family,$1.50 ,"$1,500,000,000 ",79,Israel,"Banking, oil",Others
1905,Paolo Bulgari,$1.50 ,"$1,500,000,000 ",85,Italy,Luxury goods,Others
1905,Saket Burman,$1.50 ,"$1,500,000,000 ",46,United Kingdom,Consumer goods,Others
1905,Ahmet Calik,$1.50 ,"$1,500,000,000 ",65,Turkey,"Energy, banking, construction",Others
1905,Safra Catz,$1.50 ,"$1,500,000,000 ",61,United States,Software,Others
1905,Chang Kuo-Hua,$1.50 ,"$1,500,000,000 ",68,Taiwan,"Shipping, airlines",Others
1905,Chu Jian,$1.50 ,"$1,500,000,000 ",60,China,Manufacturing,Others
1905,Sandor Csanyi,$1.50 ,"$1,500,000,000 ",70,Hungary,"Finance, real estate",Others
1905,Ana Lucia de Mattos Barretto Villela,$1.50 ,"$1,500,000,000 ",49,Brazil,Banking,Others
1905,Federico De Nora,$1.50 ,"$1,500,000,000 ",55,Italy,Electrodes,Others
1905,Bharat Desai,$1.50 ,"$1,500,000,000 ",70,United States,IT consulting,Others
1905,Mohammed Dewji,$1.50 ,"$1,500,000,000 ",47,Tanzania,Diversified,Others
1905,Egon Durban,$1.50 ,"$1,500,000,000 ",49,United States,Private equity,Others
1905,Fu Mingkang & family,$1.50 ,"$1,500,000,000 ",60,China,Manufacturing,Others
1905,Alan Gerry,$1.50 ,"$1,500,000,000 ",94,United States,Cable television,Others
1905,Philippe Ginestet & family,$1.50 ,"$1,500,000,000 ",69,France,Retail stores,Others
1905,G. Gnanalingam,$1.50 ,"$1,500,000,000 ",78,Malaysia,Ports,Others
1905,Esther Grether,$1.50 ,"$1,500,000,000 ",87,Switzerland,Art collection,Others
1905,Wei Gu,$1.50 ,"$1,500,000,000 ",58,China,Consumer electronics,Others
1905,Patrick Hanrahan,$1.50 ,"$1,500,000,000 ",67,United States,Software,Others
1905,Kenneth Hao,$1.50 ,"$1,500,000,000 ",54,United States,Private equity,Others
1905,Jaroslav Hascak & family,$1.50 ,"$1,500,000,000 ",53,Slovakia,Investments,Others
1905,He Zhenggang,$1.50 ,"$1,500,000,000 ",69,China,Chemicals,Others
1905,Niranjan Hiranandani,$1.50 ,"$1,500,000,000 ",73,India,Real estate,Others
1905,Ho Hung Anh,$1.50 ,"$1,500,000,000 ",52,Vietnam,"Consumer products, banking",Others
1905,Archie Hwang,$1.50 ,"$1,500,000,000 ",70,Taiwan,Semiconductors,Others
1905,Peter Jackson,$1.50 ,"$1,500,000,000 ",61,New Zealand,"Movies, digital effects",Others
1905,Stephen Jarislowsky,$1.50 ,"$1,500,000,000 ",97,Canada,Money management,Others
1905,Rajeev Juneja,$1.50 ,"$1,500,000,000 ",57,India,Phamaceuticals,Others
1905,Ramesh Juneja,$1.50 ,"$1,500,000,000 ",67,India,Pharmaceuticals,Others
1905,Ke Xiping & family,$1.50 ,"$1,500,000,000 ",62,China,Investments,Others
1905,Kim Jun-ki,$1.50 ,"$1,500,000,000 ",78,South Korea,Diversified,Others
1905,Sidney Kimmel,$1.50 ,"$1,500,000,000 ",95,United States,Retail,Others
1905,Jim Koch,$1.50 ,"$1,500,000,000 ",73,United States,Beer,Others
1905,Raj Kumar,$1.50 ,"$1,500,000,000 ",68,Singapore,"Real estate, hotels",Others
1905,Spiro Latsis & family,$1.50 ,"$1,500,000,000 ",76,Greece,"Banking, shipping",Others
1905,Peter Leibinger,$1.50 ,"$1,500,000,000 ",56,Germany,Machine tools,Others
1905,Regine Leibinger,$1.50 ,"$1,500,000,000 ",60,Germany,Machine tools,Others
1905,Nicola Leibinger-Kammueller,$1.50 ,"$1,500,000,000 ",63,Germany,Manufacturing,Others
1905,Li Jianli,$1.50 ,"$1,500,000,000 ",50,China,Lithium-ion battery cap,Others
1905,Li Jiaquan,$1.50 ,"$1,500,000,000 ",59,China,Chemicals,Others
1905,Li Rucheng,$1.50 ,"$1,500,000,000 ",71,China,Apparel,Others
1905,Li Shui-po,$1.50 ,"$1,500,000,000 ",66,Taiwan,Stainless steel products,Others
1905,Scott Lin,$1.50 ,"$1,500,000,000 ",90,Taiwan,Optical components,Others
1905,Liu Xiucai & family,$1.50 ,"$1,500,000,000 ",66,United States,Chemicals,Others
1905,Lu Zhongfang,$1.50 ,"$1,500,000,000 ",80,China,Education,Others
1905,Lu Zongjun,$1.50 ,"$1,500,000,000 ",59,China,Logistics,Others
1905,Youssef Mansour,$1.50 ,"$1,500,000,000 ",77,Egypt,Diversified,Others
1905,Bruce Mathieson,$1.50 ,"$1,500,000,000 ",79,Australia,Hotels,Others
1905,Romano Minozzi,$1.50 ,"$1,500,000,000 ",88,Italy,"Utilities, diversified",Others
1905,Greg Mondre,$1.50 ,"$1,500,000,000 ",48,United States,Private equity,Others
1905,Mario Moretti Polegato & family,$1.50 ,"$1,500,000,000 ",70,Italy,Shoes,Others
1905,Robert Mouawad,$1.50 ,"$1,500,000,000 ",78,Lebanon,Fine jewelry,Others
1905,Jerry Moyes & family,$1.50 ,"$1,500,000,000 ",79,United States,Transportation,Others
1905,John Ocampo,$1.50 ,"$1,500,000,000 ",63,United States,Semiconductors,Others
1905,Stefan Olsson,$1.50 ,"$1,500,000,000 ",74,Sweden,Diversified,Others
1905,Rubens Ometto Silveira Mello,$1.50 ,"$1,500,000,000 ",73,Brazil,"Sugar, ethanol",Others
1905,Anne Marie See Pastor,$1.50 ,"$1,500,000,000 ",N/A,Peru,Finance,Others
1905,George Pastor,$1.50 ,"$1,500,000,000 ",N/A,Peru,Finance,Others
1905,Nelson Peltz,$1.50 ,"$1,500,000,000 ",80,United States,Investments,Others
1905,David Penaloza Alanis,$1.50 ,"$1,500,000,000 ",49,Mexico,Toll roads,Others
1905,Karl-Johan Persson,$1.50 ,"$1,500,000,000 ",48,Sweden,H&M,Others
1905,Mike Repole,$1.50 ,"$1,500,000,000 ",55,United States,Sports drink,Others
1905,Duke Reyes,$1.50 ,"$1,500,000,000 ",66,United States,Beer distribution,Others
1905,Kishin RK,$1.50 ,"$1,500,000,000 ",39,Singapore,"Real estate, hotels",Others
1905,Carlos Rodriguez-Pastor,$1.50 ,"$1,500,000,000 ",63,Peru,Finance,Others
1905,Christopher Rokos,$1.50 ,"$1,500,000,000 ",52,United Kingdom,Hedge fund,Others
1905,John Ruiz,$1.50 ,"$1,500,000,000 ",56,United States,Healthcare services,Others
1905,Sheryl Sandberg,$1.50 ,"$1,500,000,000 ",53,United States,Facebook,Others
1905,Amnon Shashua,$1.50 ,"$1,500,000,000 ",62,Israel,Automotive technology,Others
1905,Ben Silbermann,$1.50 ,"$1,500,000,000 ",40,United States,Social media,Others
1905,Ron Sim,$1.50 ,"$1,500,000,000 ",64,Singapore,Retail,Others
1905,Leonid Simanovsky,$1.50 ,"$1,500,000,000 ",73,Russia,Investments,Others
1905,Basudeo Singh,$1.50 ,"$1,500,000,000 ",82,India,Pharmaceuticals,Others
1905,Frank Slootman,$1.50 ,"$1,500,000,000 ",64,United States,Software,Others
1905,Terry Snow,$1.50 ,"$1,500,000,000 ",79,Australia,"Airports, real estate",Others
1905,Axel Stawski,$1.50 ,"$1,500,000,000 ",72,United States,Real estate,Others
1905,Thomas Steyer,$1.50 ,"$1,500,000,000 ",65,United States,Hedge funds,Others
1905,Sergei Studennikov & family,$1.50 ,"$1,500,000,000 ",56,Russia,"Liquor stores, supermarkets",Others
1905,Su Suyu & family,$1.50 ,"$1,500,000,000 ",74,China,"Utilities, real estate",Others
1905,Kevin Systrom,$1.50 ,"$1,500,000,000 ",39,United States,Instagram,Others
1905,Tan Lili,$1.50 ,"$1,500,000,000 ",N/A,China,Feed,Others
1905,Tang Binsen,$1.50 ,"$1,500,000,000 ",40,China,Beverages,Others
1905,Tang Rui,$1.50 ,"$1,500,000,000 ",N/A,China,Semiconductors,Others
1905,Prachak Tangkaravakoon,$1.50 ,"$1,500,000,000 ",79,Thailand,Paints,Others
1905,Jeff Tangney,$1.50 ,"$1,500,000,000 ",50,United States,Healthcare IT,Others
1905,Yuequn Tao,$1.50 ,"$1,500,000,000 ",63,China,Contact Lens,Others
1905,David Teoh,$1.50 ,"$1,500,000,000 ",67,Australia,Telecom,Others
1905,Carmen Thyssen,$1.50 ,"$1,500,000,000 ",79,Spain,"Investments, art",Others
1905,Tran Ba Duong & family,$1.50 ,"$1,500,000,000 ",63,Vietnam,Automotive,Others
1905,Kenny Troutt,$1.50 ,"$1,500,000,000 ",75,United States,Telecom,Others
1905,Jens von Bahr,$1.50 ,"$1,500,000,000 ",52,Sweden,Gambling products,Others
1905,Wang Junmin,$1.50 ,"$1,500,000,000 ",54,China,Pharmaceuticals,Others
1905,Weng Xianding,$1.50 ,"$1,500,000,000 ",61,China,Medical devices,Others
1905,Farris Wilks,$1.50 ,"$1,500,000,000 ",71,United States,Natural gas,Others
1905,Gordon Wu,$1.50 ,"$1,500,000,000 ",87,Hong Kong,Real estate,Others
1905,Xiong Wu,$1.50 ,"$1,500,000,000 ",47,China,Software,Others
1905,Xu Zhenhua,$1.50 ,"$1,500,000,000 ",N/A,China,Online games,Others
1905,Xu Zhihan,$1.50 ,"$1,500,000,000 ",50,China,Electronics,Others
1905,Tingdong Yang,$1.50 ,"$1,500,000,000 ",62,China,Brewery,Others
1905,Michael Minhong Yu,$1.50 ,"$1,500,000,000 ",61,China,Education,Others
1905,Justin Yuan,$1.50 ,"$1,500,000,000 ",N/A,China,Online games,Others
1905,Zhang Bangxin,$1.50 ,"$1,500,000,000 ",43,China,Education,Others
1905,Zhang Hong,$1.50 ,"$1,500,000,000 ",N/A,China,Solar,Others
1905,Zhou Zongwen & family,$1.50 ,"$1,500,000,000 ",66,China,Jewelry,Others
2020,Antti Aarnio-Wihuri,$1.40 ,"$1,400,000,000 ",83,Finland,Diversified,Others
2020,Alberto Alcocer,$1.40 ,"$1,400,000,000 ",80,Spain,Investments,Others
2020,Nigel Austin,$1.40 ,"$1,400,000,000 ",52,Australia,Retail,Others
2020,Binny Bansal,$1.40 ,"$1,400,000,000 ",40,India,Flipkart,Others
2020,Girdhari Lal Bawri,$1.40 ,"$1,400,000,000 ",75,India,Pharmaceuticals,Others
2020,John Bloor,$1.40 ,"$1,400,000,000 ",79,United Kingdom,"Real estate, manufacturing",Others
2020,Vladimir Bogdanov,$1.40 ,"$1,400,000,000 ",71,Russia,Oil,Others
2020,Amit Burman,$1.40 ,"$1,400,000,000 ",53,India,Consumer goods,Others
2020,Cai Jianyong,$1.40 ,"$1,400,000,000 ",52,China,Nickel,Others
2020,Steve Case,$1.40 ,"$1,400,000,000 ",64,United States,AOL,Others
2020,Chen Wenyuan & family,$1.40 ,"$1,400,000,000 ",55,China,Testing equipment,Others
2020,Steve Case,$1.40 ,"$1,400,000,000 ",64,United States,AOL,Technology
2020,Chen Wenyuan & family,$1.40 ,"$1,400,000,000 ",55,China,Testing equipment,Technology
2020,Chua Thian Poh,$1.40 ,"$1,400,000,000 ",74,Singapore,Real estate,Real Estate
2020,Sasson Dayan & family,$1.40 ,"$1,400,000,000 ",83,Brazil,Banking,Finance & Investments
2020,Chris Ellison,$1.40 ,"$1,400,000,000 ",65,Australia,Mining,Metals & Mining
2020,John Farber,$1.40 ,"$1,400,000,000 ",97,United States,Chemicals,Manufacturing
2020,J. Christopher Flowers,$1.40 ,"$1,400,000,000 ",65,United States,Investments,Finance & Investments
2020,Reinold Geiger,$1.40 ,"$1,400,000,000 ",75,Austria,Beauty products,Fashion & Retail
2020,Ali Ghodsi,$1.40 ,"$1,400,000,000 ",44,Sweden,Data analytics,Technology
2020,Lance Gokongwei,$1.40 ,"$1,400,000,000 ",55,Philippines,Diversified,Diversified
2020,Guan Yihong,$1.40 ,"$1,400,000,000 ",53,China,Restaurant,Food & Beverage
2020,Rajinder Gupta,$1.40 ,"$1,400,000,000 ",64,India,"Textiles, paper",Manufacturing
2020,Torstein Hagen,$1.40 ,"$1,400,000,000 ",80,Norway,Cruises,Service
2020,Ayman Hariri,$1.40 ,"$1,400,000,000 ",44,Lebanon,"Construction, investments",Construction & Engineering
2020,Alfredo Harp Helu & family,$1.40 ,"$1,400,000,000 ",79,Mexico,"Banking, investments",Finance & Investments
2020,He Xiaopeng,$1.40 ,"$1,400,000,000 ",45,China,Electric vehicles,Automotive
2020,Christoph Henkel,$1.40 ,"$1,400,000,000 ",65,Germany,Consumer goods,Fashion & Retail
2020,Daniel Hirschfeld,$1.40 ,"$1,400,000,000 ",81,United States,Fashion retail,Fashion & Retail
2020,Drew Houston,$1.40 ,"$1,400,000,000 ",40,United States,Cloud storage service,Technology
2020,Huang Jinxiang & family,$1.40 ,"$1,400,000,000 ",58,China,Chemicals,Manufacturing
2020,Rameshchandra Jain,$1.40 ,"$1,400,000,000 ",74,India,Textiles,Manufacturing
2020,Ke Zunhong & family,$1.40 ,"$1,400,000,000 ",68,China,Pharmaceuticals,Healthcare
2020,Kim Taek-jin,$1.40 ,"$1,400,000,000 ",56,South Korea,Online games,Media & Entertainment
2020,Koh Wee Meng,$1.40 ,"$1,400,000,000 ",59,Singapore,"Real estate, hotels",Real Estate
2020,Sergei Kolesnikov,$1.40 ,"$1,400,000,000 ",51,Russia,Building materials,Manufacturing
2020,Hemendra Kothari,$1.40 ,"$1,400,000,000 ",76,India,Financial services,Finance & Investments
2020,Sebastian Kulczyk,$1.40 ,"$1,400,000,000 ",42,Poland,Diversified,Finance & Investments
2020,Kwee Liong Keng,$1.40 ,"$1,400,000,000 ",77,Singapore,Real estate,Real Estate
2020,Kwee Liong Phing,$1.40 ,"$1,400,000,000 ",65,Singapore,Real estate,Real Estate
2020,Kwee Liong Seen,$1.40 ,"$1,400,000,000 ",70,Singapore,Real estate,Real Estate
2020,Kwee Liong Tek,$1.40 ,"$1,400,000,000 ",76,Singapore,Real estate,Real Estate
2020,Kwek Leng Keow,$1.40 ,"$1,400,000,000 ",71,Singapore,Diversified,Diversified
2020,Kwek Leng Peck,$1.40 ,"$1,400,000,000 ",67,Singapore,Diversified,Diversified
2020,Raymond Kwok,$1.40 ,"$1,400,000,000 ",69,Hong Kong,Real estate,Real Estate
2020,Lee Ho-jin,$1.40 ,"$1,400,000,000 ",60,South Korea,Diversified,Diversified
2020,Michael Lee-Chin,$1.40 ,"$1,400,000,000 ",72,Canada,Mutual funds,Finance & Investments
2020,Manfredi Lefebvre d'Ovidio & family,$1.40 ,"$1,400,000,000 ",69,Italy,Cruises,Service
2020,Bernard Lewis & family,$1.40 ,"$1,400,000,000 ",97,United Kingdom,Fashion retailer,Fashion & Retail
2020,Li Jinyang,$1.40 ,"$1,400,000,000 ",N/A,China,Mining,Metals & Mining
2020,William Li,$1.40 ,"$1,400,000,000 ",48,China,Electric vehicles,Automotive
2020,Jenny Lindén Urnes,$1.40 ,"$1,400,000,000 ",52,Sweden,Powdered metal,Manufacturing
2020,Liu Fangyi,$1.40 ,"$1,400,000,000 ",53,China,Medical equipment,Healthcare
2020,K.C. Liu,$1.40 ,"$1,400,000,000 ",69,Taiwan,Manufacturing,Technology
2020,Liu Ming Chung,$1.40 ,"$1,400,000,000 ",60,Brazil,Paper,Manufacturing
2020,Anatoly Lomakin,$1.40 ,"$1,400,000,000 ",70,Russia,Investments,Metals & Mining
2020,Brandt Louie,$1.40 ,"$1,400,000,000 ",79,Canada,Drugstores,Food & Beverage
2020,Lucia Maggi & family,$1.40 ,"$1,400,000,000 ",90,Brazil,Agribusiness,Diversified
2020,Gary Magness,$1.40 ,"$1,400,000,000 ",69,United States,"Cable TV, investments",Media & Entertainment
2020,Mao Lixiang & family,$1.40 ,"$1,400,000,000 ",82,China,Cooking appliances,Technology
2020,David McMurtry,$1.40 ,"$1,400,000,000 ",82,United Kingdom,Manufacturing,Manufacturing
2020,Deepak Mehta,$1.40 ,"$1,400,000,000 ",66,India,Chemicals,Manufacturing
2020,Miao Shouliang,$1.40 ,"$1,400,000,000 ",68,China,Real estate,Real Estate
2020,Miao Yongjun,$1.40 ,"$1,400,000,000 ",55,China,Clinical diagnostics,Healthcare
2020,Yoshiko Mori,$1.40 ,"$1,400,000,000 ",82,Japan,Real estate,Real Estate
2020,Marius Nacht,$1.40 ,"$1,400,000,000 ",57,Israel,Software,Technology
2020,Tadako Nakatani,$1.40 ,"$1,400,000,000 ",N/A,Japan,Medical diagnostic equipment,Healthcare
2020,Vadim Novinsky,$1.40 ,"$1,400,000,000 ",59,Ukraine,Steel,Metals & Mining
2020,Niti Osathanugrah,$1.40 ,"$1,400,000,000 ",49,Thailand,"Energy drinks,investments",Finance & Investments
2020,Gretel Packer,$1.40 ,"$1,400,000,000 ",57,Australia,Investments,Finance & Investments
2020,Pan Longquan,$1.40 ,"$1,400,000,000 ",58,China,Manufacturing,Manufacturing
2020,Pan Shiyi,$1.40 ,"$1,400,000,000 ",60,China,Real estate,Real Estate
2020,David Paul,$1.40 ,"$1,400,000,000 ",56,United States,Medical devices,Healthcare
2020,Tom Persson,$1.40 ,"$1,400,000,000 ",38,Sweden,H&M,Fashion & Retail
2020,Qian Jinghong,$1.40 ,"$1,400,000,000 ",50,China,Electric scooters,Automotive
2020,Qin Long,$1.40 ,"$1,400,000,000 ",57,China,Tire,Manufacturing
2020,M.Satyanarayana Reddy,$1.40 ,"$1,400,000,000 ",65,India,Pharmaceuticals,Healthcare
2020,Mochtar Riady & family,$1.40 ,"$1,400,000,000 ",93,Indonesia,Diversified,Diversified
2020,Rihanna,$1.40 ,"$1,400,000,000 ",35,Barbados,"Music, cosmetics",Fashion & Retail
2020,Boris Rotenberg,$1.40 ,"$1,400,000,000 ",66,Russia,"Construction, pipes, chemicals",Construction & Engineering
2020,Subhash Runwal,$1.40 ,"$1,400,000,000 ",79,India,Real estate,Real Estate
2020,Igor Rybakov,$1.40 ,"$1,400,000,000 ",50,Russia,Building materials,Manufacturing
2020,Carlos Sanchez,$1.40 ,"$1,400,000,000 ",61,Brazil,Generic drugs,Healthcare
2020,Martin Selig,$1.40 ,"$1,400,000,000 ",85,United States,Real estate,Real Estate
2020,Airat Shaimiev,$1.40 ,"$1,400,000,000 ",61,Russia,"Refinery, chemicals",Energy
2020,Radik Shaimiev,$1.40 ,"$1,400,000,000 ",58,Russia,"Refinery, chemicals",Energy
2020,Nobutoshi Shimamura,$1.40 ,"$1,400,000,000 ",97,Japan,Retail,Fashion & Retail
2020,Jared Smith,$1.40 ,"$1,400,000,000 ",48,United States,Cloud computing,Technology
2020,Charlotte Soderstrom,$1.40 ,"$1,400,000,000 ",46,Sweden,H&M,Fashion & Retail
2020,Anand Surana,$1.40 ,"$1,400,000,000 ",52,India,Pharmaceuticals,Healthcare
2020,Dilip Surana,$1.40 ,"$1,400,000,000 ",57,India,Pharmaceuticals,Healthcare
2020,Wilma Tisch,$1.40 ,"$1,400,000,000 ",95,United States,Diversified,Finance & Investments
2020,Jianyi Wang,$1.40 ,"$1,400,000,000 ",60,China,Fiber optic cables,Technology
2020,Wang Jilei,$1.40 ,"$1,400,000,000 ",58,China,Logistics,Logistics
2020,Shuifu Wang,$1.40 ,"$1,400,000,000 ",68,China,Manufacturing,Manufacturing
2020,Wang Yanqing & family,$1.40 ,"$1,400,000,000 ",76,China,Carbon fiber products,Manufacturing
2020,Wang Zelong,$1.40 ,"$1,400,000,000 ",26,China,Chemicals,Metals & Mining
2020,Werner O. Weber,$1.40 ,"$1,400,000,000 ",84,Switzerland,Electronic components,Manufacturing
2020,Anne Werninghaus,$1.40 ,"$1,400,000,000 ",37,Brazil,Industrial machinery,Manufacturing
2020,"Alfred West, Jr.",$1.40 ,"$1,400,000,000 ",80,United States,Money management,Finance & Investments
2020,Bo Wu,$1.40 ,"$1,400,000,000 ",68,China,Machinery,Manufacturing
2020,Wu Chaoqun,$1.40 ,"$1,400,000,000 ",53,China,Chemicals,Manufacturing
2020,Swift Xie,$1.40 ,"$1,400,000,000 ",43,China,Drones,Technology
2020,Xu Guozhong & family,$1.40 ,"$1,400,000,000 ",59,China,Motors,Manufacturing
2020,Yao Kuizhang,$1.40 ,"$1,400,000,000 ",58,China,Beverages,Food & Beverage
2020,Yu Peidi,$1.40 ,"$1,400,000,000 ",63,Hong Kong,Real estate,Real Estate
2020,Yuan Liping,$1.40 ,"$1,400,000,000 ",52,Canada,Pharmaceuticals,Healthcare
2020,Zhang Chuanwei & family,$1.40 ,"$1,400,000,000 ",60,China,Machinery,Manufacturing
2020,Zhang Keqiang,$1.40 ,"$1,400,000,000 ",62,China,Real estate,Real Estate
2020,Zhang Xin,$1.40 ,"$1,400,000,000 ",57,China,Real estate,Real Estate
2020,Xinghai Zhang & family,$1.40 ,"$1,400,000,000 ",60,China,Machinery,Manufacturing
2020,Zheng Jianjiang & family,$1.40 ,"$1,400,000,000 ",62,China,Electrical equipment,Manufacturing
2020,Zhong Sheng Jian,$1.40 ,"$1,400,000,000 ",65,Singapore,Real estate,Real Estate
2020,Zhou Chengjian,$1.40 ,"$1,400,000,000 ",57,China,Fashion retail,Fashion & Retail
2020,Boris Zingarevich,$1.40 ,"$1,400,000,000 ",63,Russia,"Pulp and paper, diversified",Diversified
2133,A. Jayson Adair,$1.30 ,"$1,300,000,000 ",53,United States,Damaged cars,Automotive
2133,Soegiarto Adikoesoemo,$1.30 ,"$1,300,000,000 ",85,Indonesia,Chemicals,Logistics
2133,Rajendra Agarwal,$1.30 ,"$1,300,000,000 ",64,India,Pharmaceuticals,Healthcare
2133,Chirayu Amin,$1.30 ,"$1,300,000,000 ",76,India,Pharmaceuticals,Healthcare
2133,Anant Asavabhokhin,$1.30 ,"$1,300,000,000 ",72,Thailand,Real estate,Real Estate
2133,Roman Avdeev,$1.30 ,"$1,300,000,000 ",55,Russia,"Banking, development",Finance & Investments
2133,Ziv Aviram,$1.30 ,"$1,300,000,000 ",64,Israel,Automotive technology,Automotive
2133,Sachin Bansal,$1.30 ,"$1,300,000,000 ",41,India,Flipkart,Fashion & Retail
2133,Kiki Barki,$1.30 ,"$1,300,000,000 ",83,Indonesia,Coal,Energy
2133,Elena Baturina,$1.30 ,"$1,300,000,000 ",60,Russia,"Investments, real estate",Construction & Engineering
2133,Banwari Lal Bawri,$1.30 ,"$1,300,000,000 ",70,India,Pharmaceuticals,Healthcare
2133,Othman Benjelloun & family,$1.30 ,"$1,300,000,000 ",90,Morocco,"Banking, insurance",Finance & Investments
2133,Hari Bhartia,$1.30 ,"$1,300,000,000 ",66,India,Diversified,Diversified
2133,Shyam Bhartia,$1.30 ,"$1,300,000,000 ",70,India,"Pharmaceuticals, food",Healthcare
2133,Stewart Butterfield,$1.30 ,"$1,300,000,000 ",50,Canada,Messaging software,Technology
2133,Cai Mingtong,$1.30 ,"$1,300,000,000 ",71,China,Electronic components,Technology
2133,Anthony Casalena,$1.30 ,"$1,300,000,000 ",40,United States,Software,Technology
2133,Chang Jianming & family,$1.30 ,"$1,300,000,000 ",58,China,Industrial equipment,Manufacturing
2133,Richard Chang,$1.30 ,"$1,300,000,000 ",76,Taiwan,"Real estate, electronics",Real Estate
2133,Chen Xuehua,$1.30 ,"$1,300,000,000 ",62,China,Minerals processing,Metals & Mining
2133,Chen Yin,$1.30 ,"$1,300,000,000 ",50,China,Power tools,Manufacturing
2133,Chin Jong Hwa,$1.30 ,"$1,300,000,000 ",64,Taiwan,Auto parts,Automotive
2133,R. Marcelo Claure,$1.30 ,"$1,300,000,000 ",52,United States,Cell phone distribution,Telecom
2133,Alberto Cortina,$1.30 ,"$1,300,000,000 ",77,Spain,Investments,Finance & Investments
2133,Eduardo Costantini,$1.30 ,"$1,300,000,000 ",76,Argentina,Real estate,Real Estate
2133,Wenjun Dai,$1.30 ,"$1,300,000,000 ",54,China,Food,Food & Beverage
2133,Anand Deshpande,$1.30 ,"$1,300,000,000 ",60,India,Technology,Technology
2133,Aydin Dogan,$1.30 ,"$1,300,000,000 ",86,Turkey,Media,Media & Entertainment
2133,Annalisa Doris,$1.30 ,"$1,300,000,000 ",52,Italy,Financial services,Finance & Investments
2133,Massimo Doris,$1.30 ,"$1,300,000,000 ",55,Italy,Financial services,Finance & Investments
2133,Weimin Du,$1.30 ,"$1,300,000,000 ",59,China,Vaccines,Healthcare
2133,Timothy Dunn & family,$1.30 ,"$1,300,000,000 ",67,United States,Energy,Energy
2133,Keiko Erikawa,$1.30 ,"$1,300,000,000 ",74,Japan,Video games,Media & Entertainment
2133,Yoichi Erikawa,$1.30 ,"$1,300,000,000 ",72,Japan,Video games,Media & Entertainment
2133,Philip Fayer,$1.30 ,"$1,300,000,000 ",45,Canada,Online payments,Finance & Investments
2133,Marvy Finger,$1.30 ,"$1,300,000,000 ",87,United States,Real estate,Real Estate
2133,Simona Giorgetta,$1.30 ,"$1,300,000,000 ",45,Italy,Chemical products,Construction & Engineering
2133,Joel Greenberg,$1.30 ,"$1,300,000,000 ",65,United States,"Trading, investments",Finance & Investments
2133,He Zhiping,$1.30 ,"$1,300,000,000 ",59,China,Investments,Finance & Investments
2133,Heikki Herlin,$1.30 ,"$1,300,000,000 ",36,Finland,"Elevators, escalators",Manufacturing
2133,Hoi Kin Hong,$1.30 ,"$1,300,000,000 ",70,Macau,Real estate,Real Estate
2133,Lillyn Teh Li Hua,$1.30 ,"$1,300,000,000 ",N/A,Malaysia,Finance,Finance & Investments
2133,Gregg Hymowitz,$1.30 ,"$1,300,000,000 ",57,United States,Asset management,Finance & Investments
2133,Mitchell Jacobson,$1.30 ,"$1,300,000,000 ",72,United States,Industrial equipment,Service
2133,Anurang Jain,$1.30 ,"$1,300,000,000 ",61,India,Auto parts,Manufacturing
2133,Jiang Guiting & family,$1.30 ,"$1,300,000,000 ",64,China,Manufacturing,Manufacturing
2133,Jin Xin,$1.30 ,"$1,300,000,000 ",56,China,Manufacturing,Manufacturing
2133,Conni Jonsson,$1.30 ,"$1,300,000,000 ",62,Sweden,Asset management,Finance & Investments
2133,George Joseph,$1.30 ,"$1,300,000,000 ",101,United States,Insurance,Finance & Investments
2133,Laurent Junique,$1.30 ,"$1,300,000,000 ",57,France,Call centers,Technology
2133,Zbigniew Juroszek & family,$1.30 ,"$1,300,000,000 ",60,Poland,"Real estate, gambling",Diversified
2133,Alexander Karp,$1.30 ,"$1,300,000,000 ",55,United States,Software firm,Technology
2133,Joe Kiani,$1.30 ,"$1,300,000,000 ",58,United States,Medical devices,Healthcare
2133,Seth Klarman,$1.30 ,"$1,300,000,000 ",65,United States,Investments,Finance & Investments
2133,Kagemasa Kozuki,$1.30 ,"$1,300,000,000 ",82,Japan,Video games,Technology
2133,Michael Krasny,$1.30 ,"$1,300,000,000 ",69,United States,Retail,Technology
2133,Eduard Kucera,$1.30 ,"$1,300,000,000 ",70,Czech Republic,Software,Technology
2133,Kristo Käärmann,$1.30 ,"$1,300,000,000 ",42,Estonia,"Payments, banking",Finance & Investments
2133,Gary Lauder,$1.30 ,"$1,300,000,000 ",60,United States,Estée Lauder,Fashion & Retail
2133,Lee Hae-jin,$1.30 ,"$1,300,000,000 ",55,South Korea,Internet,Technology
2133,Art Levinson,$1.30 ,"$1,300,000,000 ",73,United States,"Genentech, Apple",Diversified
2133,Li Denghai,$1.30 ,"$1,300,000,000 ",73,China,Seed production,Food & Beverage
2133,Fengluan Li,$1.30 ,"$1,300,000,000 ",61,China,"Steel, diversified",Diversified
2133,Li Yongqing,$1.30 ,"$1,300,000,000 ",58,China,Petro Firbe,Manufacturing
2133,Li Zhigang,$1.30 ,"$1,300,000,000 ",46,China,Machinery,Manufacturing
2133,Liu Gexin & family,$1.30 ,"$1,300,000,000 ",71,China,Pharmaceuticals,Healthcare
